,M1US000V Index,M2US000$ Index,SPTRSGX Index,SP5LVIT Index,LT01TRUU Index,SPX Index
1994-02-28,-0.02305799948461354,-0.002776999937929213,-0.002878999935649335,-0.012934999710880218,-0.006163999862223863,-0.012290999725274742
1994-03-31,-0.01476699966993183,-0.02278899949062616,-0.022431999498605727,-0.012910999711416663,-0.005004999888129532,-0.01977799955792725
1994-04-29,0.01835399958975613,-0.012086999729834496,0.0035839999198913576,0.013839999690651892,-0.0037909999152645466,0.011869999734684826
1994-05-31,0.017104999617673457,0.017357999612018466,0.016999999620020387,-0.006369999857619405,0.0013749999692663551,0.01713199961706996
1994-06-30,-0.02442399945408106,-0.03936299912016839,-0.021188999526388943,-0.019376999566890298,0.002509999943897128,-0.024351999455690384
1994-07-29,0.03576899920050055,0.03402699923943728,0.03418299923595041,0.040462999095581466,0.008959999799728394,0.03509999921545386
1994-08-31,0.013926999688707293,0.032158999281190336,0.03853799913860858,0.014481999676302074,0.003240999927558005,0.02628399941250682
1994-09-30,-0.051072998858429496,-0.046025998971238734,-0.031164999303407964,-0.046761998954787845,-0.0022869999488815663,-0.041175999079644685
1994-10-31,0.03162199929319322,0.02537699943277985,0.030165999325737356,0.022455999498069288,0.0022989999486133453,0.029298999345116317
1994-11-30,-0.023535999473929408,-0.033274999256245795,-0.016530999630503355,-0.020431999543309213,-0.004172999906726181,-0.020246999547444286
1994-12-30,0.03087199930995703,0.0367149991793558,0.03693599917441606,0.042919999040663244,0.001989999955520034,0.03440899923089892
1995-01-31,0.03354599925018847,0.01732399961277843,0.02948199934102595,0.03381399924419821,0.013601999695971609,0.030579999316483735
1995-02-28,0.029573999338969585,0.030414999320171773,0.027956999375112354,0.02849999936297536,0.01359999969601631,0.027904999376274643
1995-03-31,0.029717999335750936,0.05021999887749553,0.035590999204479154,0.02288599948845804,0.005625999874249101,0.033713999246433375
1995-04-28,0.0019039999574422838,0.011062999752722682,-0.005511999876797199,-0.013941999688372017,0.008918999800644815,-0.0022269999502226713
1995-05-31,0.05076199886538088,0.0479419989284128,0.046389998963102703,0.0498379988860339,0.01720099961552769,0.0506069988688454
1995-06-30,0.016636999628134072,0.03942899911869317,0.03984699910935015,0.010936999755539,0.0054489998782053595,0.024790999445877968
1995-07-31,0.03518999921344221,0.03257099927198142,0.029110999349318448,0.02369299947042018,0.003911999912559986,0.030343999321758748
1995-08-31,-0.010940999755449593,-0.024143999460339547,-0.021457999520376324,-0.004636999896354973,0.005905999867990613,-0.015831999646127224
1995-09-29,0.0324419992748648,0.0461579989682883,0.0480229989266023,0.04405899901520461,0.004867999891191721,0.04080799908787012
1995-10-31,-0.0133779997009784,0.02937799934335053,0.00896199979968369,0.010426999766938387,0.008331999813765287,-0.002646999940834939
1995-11-30,0.06350999858044087,0.040924999085254966,0.04859299891386181,0.05912899867836387,0.008563999808579683,0.056544998736120754
1995-12-29,0.025792999423481525,0.013018999709002674,0.015354999656789003,0.037803999155014756,0.007610999829880893,0.02326999947987497
1996-01-31,0.03980699911024422,0.05744599871598184,0.04659899895843119,0.03946699911784381,0.008544999809004366,0.04234199905358255
1996-02-29,0.0048249998921528455,0.014934999666176736,0.00650499985460192,-0.005597999874874949,-0.003930999912135303,0.006618999852053821
1996-03-29,0.0106489997619763,-0.007593999830260873,-0.01063899976219982,0.0025799999423325062,-0.0008669999806210399,0.003074999931268394
1996-04-30,0.013378999700956046,0.018018999597243963,0.018994999575428665,0.0001459999967366457,0.0009469999788329006,0.014218999682180582
1996-05-31,0.016398999633453787,0.046511998960375785,0.04262199904732406,0.019660999560542403,0.002236999949999154,0.03151599929556251
1996-06-28,-0.007212999838776887,0.010188999772258102,0.008242999815754593,0.022714999492280185,0.00723999983817339,-0.0003779999915510416
1996-07-31,-0.037813999154791236,-0.031351999299228196,-0.03862299913670868,-0.03860499913711101,0.0038369999142363665,-0.03675399917848408
1996-08-30,0.022647999493777753,0.020722999536804853,0.00948999978788197,0.01477799966968596,0.003675999917834997,0.015750999647937716
1996-09-30,0.035596999204345045,0.06279399859644473,0.06448799855858088,0.03176499928999692,0.009074999797157942,0.05142399885058403
1996-10-31,0.018304999590851367,0.014542999674938618,0.005312999881245195,0.022581999495252966,0.011268999748118222,0.011112999751605093
1996-11-29,0.08288499814737588,0.07934299822654575,0.08227799816094339,0.0637299985755235,0.0073789998350664975,0.08312699814196675
1996-12-31,-0.002090999953262508,-0.010165999772772192,-0.008044999820180237,-0.003026999932341278,0.00012999999709427355,-0.00472499989438802
1997-01-31,0.034455999229848384,0.07322599836327136,0.06030499865207821,0.005874999868683517,0.004723999894410372,0.04469999900087714
1997-02-28,0.02053099954109639,0.018312999590672552,0.024006999463401735,0.03133399929963052,0.0023759999468922614,0.023472999475337566
1997-03-31,-0.023391999477148054,-0.0430889990368858,-0.03599299919549376,-0.022305999501422046,-0.000781999982520938,-0.029519999340176583
1997-04-30,0.049884998884983364,0.10913699756059796,0.08956499799806625,0.030647999314963818,0.00813599981814623,0.0683179984729737
1997-05-30,0.04533899898659438,0.039313999121263626,0.047272998943366104,0.04800799892693758,0.006960999844409526,0.048871998907625676
1997-06-30,0.037694999157451094,0.05544299876075238,0.05106899885851889,0.048615998913347724,0.006893999845907092,0.045181998990103604
1997-07-31,0.08422999811731278,0.08267499815206975,0.07697999827936292,0.05495999877154827,0.011114999751560389,0.0773299982715398
1997-08-29,-0.03885499913152307,-0.0683159984730184,-0.05941999867185951,-0.02737899938803166,0.0008899999801069497,-0.0488579989079386
